step,D,het_area,het_pairs,total_pairs,min_vol,max_vol,recon
0,0.0117728,0.488367,848,1674,0.144996,2.64709,0
2500,0.00025045,0.479903,918,1833,0.861588,1.10083,159
5000,0.00454504,0.478767,938,1865,0.536062,1.10549,191
7500,0.00154189,0.47772,948,1891,0.649552,1.10713,217
10000,0.00532407,0.476486,964,1916,0.790769,1.10788,242
12500,0.00362759,0.474589,968,1928,0.720508,1.10959,254
15000,0.00397207,0.473277,971,1934,0.842122,1.10051,260
17500,0.00393045,0.474028,972,1936,0.878562,1.09102,262
20000,0.00446959,0.474649,973,1937,0.84184,1.09302,263
22500,0.00516683,0.473856,976,1942,0.850487,1.08974,268
25000,0.00672424,0.473881,980,1947,0.761892,1.09131,273
27500,0.00622178,0.475207,981,1951,0.856827,1.09668,277
30000,0.00670874,0.476269,985,1958,0.855186,1.1031,284
32500,0.00659298,0.476665,986,1960,0.860965,1.08893,286
35000,0.00605321,0.476483,989,1967,0.829451,1.07503,293
37500,0.00649575,0.475534,990,1968,0.881277,1.07661,294
40000,0.00625776,0.476082,991,1971,0.89069,1.08202,297
42500,0.00655712,0.475882,992,1973,0.89517,1.08115,299
45000,0.00745235,0.476277,994,1975,0.886263,1.07933,301
47500,0.00760018,0.477063,995,1977,0.883218,1.08342,303
50000,0.00741055,0.477871,997,1981,0.87495,1.07742,307
52500,0.0079617,0.477655,998,1982,0.880686,1.07982,308
55000,0.0079617,0.478269,998,1982,0.865236,1.082,308
57500,0.00759028,0.478418,998,1983,0.862269,1.07783,309
60000,0.00759028,0.478877,998,1983,0.778973,1.0765,309
62500,0.00625196,0.478742,998,1985,0.626403,1.07993,311
65000,0.00625196,0.48059,998,1985,0.614126,1.079,311
67500,0.00625196,0.481281,998,1985,0.610854,1.0808,311
70000,0.00498232,0.479536,999,1989,0.650569,1.08137,315
72500,0.00395263,0.47943,999,1991,0.654701,1.20373,317
75000,0.00313977,0.480032,999,1993,0.608579,1.08736,319
77500,0.00313977,0.47988,999,1993,0.569118,1.07909,319
80000,0.00463572,0.479961,1004,2000,0.671698,1.07616,326
82500,0.00463572,0.480545,1004,2000,0.656795,1.09263,326
85000,0.00517788,0.482199,1005,2001,0.583382,1.09557,327
87500,0.00500408,0.480298,1006,2004,0.44758,1.10275,330
90000,0.00500408,0.481491,1006,2004,0.406227,1.07797,330
92500,0.00400715,0.482827,1006,2006,0.358593,1.0778,332
95000,0.00400715,0.482255,1006,2006,0.400802,1.07288,332
97500,0.00453164,0.483466,1007,2007,0.38127,1.07187,333
100000,0.00308654,0.48268,1008,2012,0.465358,1.0695,338
